question,sql_query,
Describe the purpose of from_date.,SELECT from_date FROM title;,
Which table contains dept_no?,SELECT dept_no FROM dept_emp;,
Where can I see the first_name?,SELECT first_name FROM employee;,
Describe the purpose of from_date.,SELECT from_date FROM dept_emp;,
Where is amount mostly used?,SELECT amount FROM salary;,
How is last_login used in the employee_login table?,SELECT last_login FROM employee_login;,
Explain the from_date column in dept_emp.,SELECT from_date FROM dept_emp;,
List all created_at values.,SELECT created_at FROM employee_login;,
Show me the from_date.,SELECT from_date FROM salary;,
What is the data type of dept_no in manager_department_access?,SELECT dept_no FROM manager_department_access;,
What happens if to_date is missing?,SELECT to_date FROM title;,
Can I filter records by dept_no?,SELECT dept_no FROM manager_department_access;,
Why do we need username?,SELECT username FROM employee_login;,
What happens if dept_no is missing?,SELECT dept_no FROM department;,
Can I filter records by amount?,SELECT amount FROM salary;,
What happens if birth_date is missing?,SELECT birth_date FROM employee;,
How is title used in the title table?,SELECT title FROM title;,
Define the created_at field.,SELECT created_at FROM employee_login;,
Which table contains from_date?,SELECT from_date FROM dept_manager;,
Show me the gender.,SELECT gender FROM employee;,
How is emp_no used in the salary table?,SELECT emp_no FROM salary;,
List all emp_no values.,SELECT emp_no FROM title;,
Describe the purpose of dept_no.,SELECT dept_no FROM department;,
Give an example of gender.,SELECT gender FROM employee;,
List all access_granted_date values.,SELECT access_granted_date FROM manager_department_access;,
Which employee has the emp_no?,SELECT emp_no FROM manager_department_access;,
Which table contains dept_no?,SELECT dept_no FROM dept_manager;,
When is the to_date?,SELECT to_date FROM salary;,
Define the to_date field.,SELECT to_date FROM dept_manager;,
Give an example of created_at.,SELECT created_at FROM employee_login;,
Describe the purpose of from_date.,SELECT from_date FROM title;,
Explain the emp_no column in dept_emp.,SELECT emp_no FROM dept_emp;,
Can I filter records by password?,SELECT password FROM employee_login;,
What is the data type of dept_no in manager_department_access?,SELECT dept_no FROM manager_department_access;,
What happens if dept_no is missing?,SELECT dept_no FROM department;,
Which table contains login_id?,SELECT login_id FROM employee_login;,
Can you tell me the dept_name?,SELECT dept_name FROM department;,
Explain the username column in employee_login.,SELECT username FROM employee_login;,
Describe the purpose of access_granted_date.,SELECT access_granted_date FROM manager_department_access;,
What are common values in from_date?,SELECT from_date FROM title;,
Show me the gender.,SELECT gender FROM employee;,
What are common values in from_date?,SELECT from_date FROM dept_manager;,
Who updates the to_date?,SELECT to_date FROM salary;,
Is dept_no unique for each record?,SELECT dept_no FROM dept_emp;,
Is from_date unique for each record?,SELECT from_date FROM title;,
When is the from_date?,SELECT from_date FROM salary;,
What are common values in emp_no?,SELECT emp_no FROM employee_login;,
What information does access_granted_date hold?,SELECT access_granted_date FROM manager_department_access;,
What information does dept_no hold?,SELECT dept_no FROM manager_department_access;,
How to update to_date?,SELECT to_date FROM dept_manager;,
Which table contains emp_no?,SELECT emp_no FROM employee;,
Give an example of last_login.,SELECT last_login FROM employee_login;,
When is the emp_no?,SELECT emp_no FROM title;,
Define the from_date field.,SELECT from_date FROM dept_emp;,
What happens if created_at is missing?,SELECT created_at FROM employee_login;,
Explain the meaning of first_name.,SELECT first_name FROM employee;,
How is emp_no used in the manager_department_access table?,SELECT emp_no FROM manager_department_access;,
How to find emp_no?,SELECT emp_no FROM salary;,
Can I filter records by from_date?,SELECT from_date FROM dept_manager;,
What is the to_date?,SELECT to_date FROM dept_emp;,
What are common values in dept_name?,SELECT dept_name FROM department;,
What happens if emp_no is missing?,SELECT emp_no FROM dept_emp;,
Who updates the emp_no?,SELECT emp_no FROM employee_login;,
Why do we need hire_date?,SELECT hire_date FROM employee;,
Give an example of dept_no.,SELECT dept_no FROM dept_manager;,
Which employee has the emp_no?,SELECT emp_no FROM title;,
How to find from_date?,SELECT from_date FROM salary;,
What information does emp_no hold?,SELECT emp_no FROM dept_manager;,
How to update to_date?,SELECT to_date FROM title;,
Where can I see the first_name?,SELECT first_name FROM employee;,
Where can I see the emp_no?,SELECT emp_no FROM employee_login;,
When is the amount?,SELECT amount FROM salary;,
Explain the meaning of emp_no.,SELECT emp_no FROM manager_department_access;,
Show me the username.,SELECT username FROM employee_login;,
Can I filter records by emp_no?,SELECT emp_no FROM salary;,
When is the title?,SELECT title FROM title;,
How to join using dept_name?,SELECT dept_name FROM department;,
List all entries for amount.,SELECT amount FROM salary;,
Where is title mostly used?,SELECT title FROM title;,
List all dept_name values.,SELECT dept_name FROM department;,
Explain the meaning of dept_no.,SELECT dept_no FROM manager_department_access;,
What happens if last_name is missing?,SELECT last_name FROM employee;,
List all created_at values.,SELECT created_at FROM employee_login;,
Describe the purpose of to_date.,SELECT to_date FROM title;,
How to find gender?,SELECT gender FROM employee;,
List all birth_date values.,SELECT birth_date FROM employee;,
Can you tell me the emp_no?,SELECT emp_no FROM employee;,
How is birth_date used in the employee table?,SELECT birth_date FROM employee;,
Who updates the emp_no?,SELECT emp_no FROM dept_emp;,
How to join using last_name?,SELECT last_name FROM employee;,
Can you tell me the emp_no?,SELECT emp_no FROM employee_login;,
What happens if dept_no is missing?,SELECT dept_no FROM dept_emp;,
Who updates the emp_no?,SELECT emp_no FROM title;,
Is to_date unique for each record?,SELECT to_date FROM title;,
How to join using emp_no?,SELECT emp_no FROM title;,
Who updates the login_id?,SELECT login_id FROM employee_login;,
How to join using to_date?,SELECT to_date FROM dept_emp;,
Give an example of amount.,SELECT amount FROM salary;,
Can you tell me the from_date?,SELECT from_date FROM title;,
List all login_id values.,SELECT login_id FROM employee_login;,
Describe the purpose of access_granted_date.,SELECT access_granted_date FROM manager_department_access;,
List all entries for from_date.,SELECT from_date FROM dept_emp;,
How to join using to_date?,SELECT to_date FROM dept_manager;,
Can I filter records by last_login?,SELECT last_login FROM employee_login;,
Give me the last_name of an employee.,SELECT last_name FROM employee;,
How to join using emp_no?,SELECT emp_no FROM employee;,
How is to_date used in the salary table?,SELECT to_date FROM salary;,
Where can I see the password?,SELECT password FROM employee_login;,
Is first_name unique for each record?,SELECT first_name FROM employee;,
What information does first_name hold?,SELECT first_name FROM employee;,
Why do we need birth_date?,SELECT birth_date FROM employee;,
Can I filter records by last_name?,SELECT last_name FROM employee;,
What is the data type of to_date in title?,SELECT to_date FROM title;,
How to join using access_granted_date?,SELECT access_granted_date FROM manager_department_access;,
Who updates the from_date?,SELECT from_date FROM dept_emp;,
Give me the from_date of an employee.,SELECT from_date FROM dept_manager;,
Where can I see the emp_no?,SELECT emp_no FROM salary;,
Define the dept_no field.,SELECT dept_no FROM department;,
What is the data type of emp_no in salary?,SELECT emp_no FROM salary;,
Give an example of emp_no.,SELECT emp_no FROM dept_emp;,
